rank,s=0.5,s=0.6,s=0.7,s=0.8,s=0.9,s=1.0,s=1.1,s=1.2,s=1.3,s=1.4,s=1.5
1,0.016180965650554203,0.026540974248640197,0.04218841331171776,0.06464203343751788,0.09502535959627378,0.13359213049244012,0.1794421499314369,0.23063981727964875,0.28470801853277466,0.33923149682431025,0.3922883019531993
2,0.011441670537653471,0.017510512740350207,0.025970014678303805,0.03712709873667007,0.05092282934162736,0.06679606524622007,0.08371272297916243,0.10039181142565669,0.1156273851575409,0.12854469990468165,0.1386948592456316
3,0.009342084874095559,0.013729164471717943,0.01955277099380797,0.026842193684258952,0.03535333532210208,0.04453071016414671,0.053590904094361784,0.061714722375719844,0.06825619392784502,0.07286624874845367,0.07549591891087362
4,0.008090482825277101,0.011552630041290824,0.015986419242839604,0.021323918622312702,0.027288868562810355,0.03339803262311004,0.03905336617546999,0.043698073993461865,0.04695931033930901,0.048709332795658394,0.049036037744149934
5,0.0072363478272456615,0.010104966033156124,0.01367458606752723,0.017837706182182216,0.022323717491106815,0.02671842609848803,0.030553253203918506,0.033432609839725805,0.03513489768452762,0.03564003834154237,0.035087332397812705
6,0.0066058515648932436,0.009057870564366995,0.012036142387219607,0.01541679186481003,0.018945383305187996,0.022265355082073356,0.02500104078316226,0.02686289316392342,0.027720628542024024,0.027611145091874695,0.02669183810689423
7,0.006115830154892127,0.008257679761163643,0.010804994845704973,0.013628139722569507,0.016491163053916562,0.019084590070348597,0.021101659939752684,0.022326293893340416,0.022686747988547105,0.022251480531346436,0.02118157733077509
8,0.005720835268826736,0.007621893364857916,0.00984079537010582,0.012247375121770623,0.014623742574130528,0.01669901631155502,0.018219039536140572,0.01902069146498197,0.019071406177169948,0.018457385665511916,0.017336857405703954
9,0.005393655216851401,0.007101847706330499,0.009061987013152549,0.011146050386544537,0.013152892277463177,0.014843570054715573,0.01600507463128613,0.01651365754116147,0.016363810311788844,0.01565152486244913,0.014529196368637018
10,0.005116870619669946,0.006666791309420448,0.008417695120920188,0.01024507187419658,0.011962983996062783,0.013359213049244015,0.014253596619016817,0.014552388664216424,0.014269202419994357,0.013505049136335387,0.012405245336119902
11,0.004878744709865206,0.006296239643708937,0.00787441523679793,0.009492942742783263,0.010979589547781502,0.01214473913567638,0.01283490061997678,0.012979652432236328,0.012606345573121716,0.011818065956080667,0.01075267030763972
12,0.004671042437047779,0.005975965932219595,0.007409114729124681,0.008854621727219479,0.01015257953203931,0.01113267754103668,0.011663397936723807,0.011692753387808568,0.011258073480880038,0.010462667509019188,0.009436989863859204
13,0.004487792410738055,0.005695749087237086,0.007005398506568161,0.008305395680935823,0.009446925809163495,0.010276317730187704,0.010680381760638147,0.010621901323607314,0.010145497327794956,0.009353528533434493,0.008369323002703911
14,0.0043245449751093965,0.005448036884742326,0.006651254520255148,0.00782731084049267,0.008837395463773372,0.009542295035174298,0.00984427244998993,0.009718083862581158,0.009213682709613698,0.008431734417686347,0.0074888184834091594
15,0.004177907366010046,0.005227115604372793,0.006337665458947558,0.007406994160971793,0.008305339474136777,0.008906142032829346,0.009124815227902554,0.00894591514548732,0.008423276598772858,0.00765540913361659,0.006752560268341015
16,0.004045241412638551,0.005028574294998727,0.00605772012138815,0.0070342698277047625,0.007836669606957641,0.008349508155777511,0.008499482480666303,0.008279236834560921,0.007745397684644701,0.006994041306921992,0.0061295047180187434
17,0.003924460617748598,0.0048489477880124645,0.005806025609317883,0.006701250805462563,0.007420539693042658,0.007858360617202364,0.007951162886632123,0.007698313263928259,0.007158402284607623,0.006424919324034352,0.005596699324038881
18,0.003813890179217825,0.004685472114803714,0.0055783073425234725,0.006401724871868889,0.007048460449291789,0.007421785027357788,0.007466631331499382,0.007187986937268705,0.006645772069634684,0.005930818881290881,0.0051368466387270995
19,0.003712168109456244,0.004535912832504165,0.005371130092184761,0.0061307291352567265,0.00671368994986287,0.007031164762760009,0.007035508675830306,0.006736432526775853,0.006194696271179049,0.005498460725502599,0.0047366899306015686
20,0.0036181739136228307,0.004398441936126132,0.005181699160680823,0.005884248604358,0.006410804389863234,0.006679606524622008,0.006649537946800092,0.006334295074468871,0.005795096929866306,0.005117456676870123,0.004385916549726588
21,0.0035309761862450002,0.004271547929390748,0.005007715939595805,0.005658998433936023,0.006135389750416003,0.006361530023449532,0.00630207024656811,0.005974081342752664,0.005438944355268166,0.004779573626260847,0.004076396457927959
22,0.003449793468023682,0.004153969008997926,0.00484727116357093,0.0054522638563580875,0.005883816353426537,0.00607236956783819,0.0059876928607672806,0.005649721868135622,0.005119767200531468,0.004478209588436004,0.0038016430451976438
23,0.0033739645715029636,0.004044642667753152,0.004698764802129439,0.0052617806646211365,0.005653071381259565,0.005808353499671312,0.005701955772417209,0.00535625052822838,0.004832295811516088,0.004208014214961103,0.0035564245836180964
24,0.0033029257824466218,0.003942667161036535,0.004560845103296692,0.00508564470608901,0.005440632659364435,0.00556633877051834,0.005441167534192821,0.005089566524119707,0.0045721985815996985,0.003964609618327616,0.0033364797633617794
25,0.003236193130110841,0.0038472716779215637,0.004432361623476188,0.004922242462397379,0.005244372289039883,0.005343685219697607,0.00520224084307638,0.004846255143100818,0.004335884326911281,0.003744382066163095,0.0031383064156255964
26,0.003173348446190402,0.003757792989193414,0.0043123286173081055,0.004770197178145231,0.005062482192405317,0.005138158865093853,0.004982574272441684,0.004623451090271098,0.004120352258363619,0.003544324538363592,0.0029590025245762475
27,0.003114028291365186,0.0036736569765633115,0.0041998962015435725,0.0046283266070106755,0.004893415958816077,0.004947856684905191,0.004779960672094526,0.0044187330816551915,0.0039230767570086955,0.003361916315543304,0.0027961451448471723
28,0.0030579150774460635,0.003594363883800007,0.004094327422173623,0.004495609543262196,0.004735842968005459,0.004771147517587149,0.00459251548675874,0.004230041690364501,0.003741917930074871,0.0031950298853257756,0.002647697166346887
29,0.0030047298885109226,0.0035194764365430353,0.003994979853505469,0.004371159071146633,0.004588611863631794,0.004606625189394488,0.0044186201252624435,0.0040556146935381695,0.0035750514932727036,0.0030418582460799495,0.002511934789451753
30,0.0029542266296749306,0.003448610195247169,0.003901290711716166,0.004254201004090472,0.004450721222867464,0.004453071016414673,0.004256876824655267,0.003893935734551658,0.0034209133012623274,0.0029008576118094206,0.0023873905780573924
31,0.002906187222752658,0.0033814256625861014,0.0038127647194357577,0.004144056371443934,0.00432129581761793,0.004309423564272264,0.004106072380994871,0.0037436932183536357,0.0032781550943224626,0.0027707018665550707,0.002272808353350809
32,0.002860417634413368,0.003317621781080025,0.003728964142527055,0.004040127089844869,0.004199567259700961,0.0041747540778887555,0.003965148782725383,0.0036037471449945147,0.0031456089150423486,0.002650246068939925,0.002167107175712995
33,0.0028167445715481395,0.003256930541133379,0.003649500555938143,0.003941884160894566,0.004084858111886458,0.004048246378558794,0.0038331792638945476,0.00347310215485279,0.003022258286207604,0.0025384969902349417,0.00206935236554103
34,0.0027750127153095805,0.003199112482603588,0.0035740279963246127,0.003848857888328701,0.003976568760350166,0.003929180308601182,0.003709348647155404,0.003350885474171385,0.0029072147048772473,0.0024345891644829143,0.00197873202214503
35,0.0027350823930363728,0.0031439529203987136,0.003502237234784613,0.0037606297211533924,0.003874166503336733,0.0038169180140697197,0.0035929371076337995,0.003236328755836932,0.0027996983487857266,0.0023377652921892215,0.001894537871291267
36,0.0026968276084257006,0.003091258760594652,0.0034338509603343502,0.0036768254147296984,0.0037771764306437894,0.003710892513678894,0.0034833066839656626,0.003128753038602227,0.002699022144599056,0.002247360107836314,0.0018161495460796279
37,0.002660134366573883,0.0030408558011416425,0.0033686197085089254,0.003597109266906945,0.003685173759493403,0.003610598121417302,0.0033798900100845642,0.0030275562196221246,0.0026045785375289586,0.002162787022337039,0.0017430216100768712
38,0.0026248992431009564,0.0029925864325327655,0.0033063184031710173,0.0035211792363008983,0.0035977773619798206,0.0035155823813800046,0.003282180853396556,0.0029322025653955265,0.00251582844548211,0.002083527002987768,0.0016746727851532034
39,0.002591028156406775,0.0029463076703871082,0.003246743405759872,0.003448762788496948,0.0035146442729954573,0.0034254392433959017,0.0031897261309242414,0.002842213885791866,0.002432291990471945,0.002009119268621387,0.001610676962848677
40,0.002558435309834973,0.0029018894648968384,0.0031897099866531192,0.003379613346109817,0.003435465009283294,0.003339803262311004,0.0031021191414202054,0.002757162072581371,0.0023535406842002857,0.0019391534658828235,0.0015506556670149883
